,년(Annual),시도,시군구,계
256,2021,경남,창원시성산구,89
257,2021,경남,창원시마산합포구,241
258,2021,경남,창원시마산회원구,90
259,2021,경남,창원시진해구,123
260,2021,경남,진주시,712
261,2021,경남,통영시,240
262,2021,경남,사천시,398
263,2021,경남,김해시,463
264,2021,경남,밀양시,798
265,2021,경남,거제시,403
266,2021,경남,양산시,485
267,2021,경남,의령군,482
268,2021,경남,함안군,416
269,2021,경남,창녕군,532
270,2021,경남,고성군,517
271,2021,경남,남해군,357
272,2021,경남,하동군,674
273,2021,경남,산청군,794
274,2021,경남,함양군,725
275,2021,경남,거창군,803
276,2021,경남,합천군,983
277,2021,제주,제주,1849
278,2021,제주,제주시,978
279,2021,제주,서귀포시,871
280,2022,전국,전국,100
281,2022,서울,서울,591
282,2022,서울,종로구,23
283,2022,서울,중구,9
284,2022,서울,용산구,21
285,2022,서울,성동구,16
286,2022,서울,광진구,17
287,2022,서울,동대문구,14
288,2022,서울,중랑구,18
289,2022,서울,성북구,24
290,2022,서울,강북구,23
291,2022,서울,도봉구,20
292,2022,서울,노원구,35
293,2022,서울,은평구,29
294,2022,서울,서대문구,17
295,2022,서울,마포구,23
296,2022,서울,양천구,17
297,2022,서울,강서구,41
298,2022,서울,구로구,20
299,2022,서울,금천구,13
300,2022,서울,영등포구,24
301,2022,서울,동작구,16
302,2022,서울,관악구,29
303,2022,서울,서초구,46
304,2022,서울,강남구,39
305,2022,서울,송파구,33
306,2022,서울,강동구,24
307,2022,부산,부산,765
308,2022,부산,중구,3
309,2022,부산,서구,13
310,2022,부산,동구,10
311,2022,부산,영도구,14
312,2022,부산,부산진구,29
313,2022,부산,동래구,16
314,2022,부산,남구,26
315,2022,부산,북구,39
316,2022,부산,해운대구,51
317,2022,부산,사하구,41
318,2022,부산,금정구,65
319,2022,부산,강서구,182
320,2022,부산,연제구,12
321,2022,부산,수영구,10
322,2022,부산,사상구,36
323,2022,부산,기장군,218
324,2022,대구,대구,882
325,2022,대구,중구,7
326,2022,대구,동구,182
327,2022,대구,서구,17
328,2022,대구,남구,17
329,2022,대구,북구,93
330,2022,대구,수성구,76
331,2022,대구,달서구,62
332,2022,대구,달성군,428
333,2022,인천,인천,1063
334,2022,인천,중구,140
335,2022,인천,동구,7
336,2022,인천,미추홀구,24
337,2022,인천,연수구,56
338,2022,인천,남동구,57
339,2022,인천,부평구,32
340,2022,인천,계양구,45
341,2022,인천,서구,119
342,2022,인천,강화군,411
343,2022,인천,옹진군,172
344,2022,광주,광주,498
345,2022,광주,동구,49
346,2022,광주,서구,47
347,2022,광주,남구,60
348,2022,광주,북구,120
349,2022,광주,광산구,222
350,2022,대전,대전,1061
351,2022,대전,동구,136
352,2022,대전,중구,62
353,2022,대전,서구,95
354,2022,대전,유성구,176
355,2022,대전,대덕구,68
356,2022,울산,울산,1061
357,2022,울산,중구,37
358,2022,울산,남구,73
359,2022,울산,동구,36
360,2022,울산,북구,157
361,2022,울산,울주군,758
362,2022,세종,합계,464
363,2022,세종특별자치시,세종특별자치시,464
364,2022,경기,경기,11510
365,2022,경기,수원시(계),121
366,2022,경기,수원시장안구,33
367,2022,경기,수원시권선구,47
368,2022,경기,수원시팔달구,12
369,2022,경기,수원시영통구,27
370,2022,경기,성남시(계),141
371,2022,경기,성남시수정구,45
372,2022,경기,성남시중원구,26
373,2022,경기,성남시분당구,69
374,2022,경기,의정부시,81
375,2022,경기,안양시(계),58
376,2022,경기,안양시만안구,36
